Time.point,Treatment,plant.mass..g,Type,Tank,replicate,Sample.ID,at.P..13C,d13C,Total.C..ug,d13C.Comment,at.P..15N,d15N,Total.N..ug,d15N.Comment,Tray.Name,Well.Id,Type.of.Material,Analysis,Sample Weight (mg) from Sample List,OurLabID,Analysis Number,Mass Spec
T1,controls,NA,plankton.stock,NA,*rep sample,T1 01,1.07,-32.55,701.13,,0.37028,10.93,137.31,,Pyro1Shurin,A1,plankton stock,"13C, 15N",1.7,1874200,386968,A
T1,controls,NA,willow.burned,NA,,T1 02,1.07383,-29.05,2744.8,,0.37101,12.93,64.69,,Pyro1Shurin,A2,chared leaves,"13C, 15N",4.8,1874201,386969,A
T1,controls,NA,willow.burned,NA,*rep sample,T1 03,1.07386,-29.02,2894.38,,0.37093,12.69,65.55,,Pyro1Shurin,A3,chared leaves,"13C, 15N",5.7,1874202,386970,A
T1,controls,NA,willow.unburned,NA,,T1 04,1.07337,-29.47,2208.59,,0.37081,12.38,50.91,,Pyro1Shurin,A4,leaves,"13C, 15N",3.6,1874203,386971,A
T1,controls,NA,willow.unburned,NA,*rep sample,T1 05,1.07314,-29.68,2794.96,,0.37094,12.74,70.06,,Pyro1Shurin,A5,leaves,"13C, 15N",4.7,1874204,386972,A
T1,controls,NA,plankton.stock,NA,*plankton rep sample,T1 06,1.0704,-32.18,1296.61,,0.37019,10.68,257.77,,Pyro1Shurin,A6,ground plankton,"13C, 15N",1.9,1874205,386973,A
T1,unburned,400,plankton,1,,T1 07,1.07785,-25.37,835.61,,0.44784,223.64,175.44,,Pyro1Shurin,A7,"plankton, scrape GFF","13C, 15N",1.2,1874206,386974,A
T1,unburned,400,POM,1,,T1 08,1.07591,-27.15,269.79,,0.44401,213.12,40.08,,Pyro1Shurin,A8,"POM, scraped GFF","13C, 15N",9.8,1874207,386975,A
T1,burned,400,plankton,30,,T1 09,1.07623,-26.85,546.53,,0.42129,150.79,37.22,,Pyro1Shurin,A9,"plankton, scrape GFF","13C, 15N",6.8,1874208,386976,A
T1,burned,400,POM,30,,T1 10,1.0769,-26.24,186.05,,0.43615,191.54,25.43,,Pyro1Shurin,A10,"POM, scraped GFF","13C, 15N",9.2,1874209,386977,A
T1,unburned,300,plankton,3,,T1 11,1.07777,-25.45,2877.89,,0.43632,192.01,516.89,,Pyro1Shurin,A11,"plankton, scrape GFF","13C, 15N",5.8,1874210,386978,A
T1,unburned,300,POM,3,,T1 12,1.07617,-26.91,86.33,Precision decreases for samples containing less than 100ugC,0.43407,185.85,13.73,Precision decreases for samples containing less than 20ugN,Pyro1Shurin,A12,"POM, scraped GFF","13C, 15N",4.6,1874211,386979,A
T1,unburned,300,POM,3,*rep sample,T1 13,1.07599,-27.07,135.84,,0.43227,180.91,17.74,Precision decreases for samples containing less than 20ugN,Pyro1Shurin,B1,"POM, scraped GFF","13C, 15N",6.7,1874212,387105,A
T1,burned,300,plankton,28,,T1 14,1.07944,-23.92,1349.41,,0.43289,182.62,294.57,,Pyro1Shurin,B2,"plankton, scrape GFF","13C, 15N",3.2,1874213,387106,A
T1,burned,300,POM,28,,T1 15,1.07728,-25.9,195.89,,0.43316,183.35,39.14,,Pyro1Shurin,B3,"POM, scraped GFF","13C, 15N",7,1874214,387107,A
T1,unburned,250,POM,5,,T1 16,1.07699,-26.16,162.42,,0.43698,193.82,20.54,,Pyro1Shurin,B4,"POM, scraped GFF","13C, 15N",7.9,1874215,387108,A
T1,unburned,250,plankton,5,,T1 17,1.07918,-24.15,1858.23,,0.43988,201.77,448.43,Contained more nitrogen than largest reference in run,Pyro1Shurin,B5,"plankton, scrape GFF","13C, 15N",6.8,1874216,387109,A
T1,unburned,250,plankton,5,*rep sample,T1 18,1.07954,-23.83,1294.8,,0.43938,200.42,308.02,Contained more nitrogen than largest reference in run,Pyro1Shurin,B6,"plankton, scrape GFF","13C, 15N",4.9,1874217,387110,A
T1,controls,NA,plankton.stock,NA,*plankton rep sample,T1 19,1.07018,-32.39,503.4,,0.37028,10.91,104.79,,Pyro1Shurin,B7,ground plankton,"13C, 15N",1,1874218,387111,A
T1,burned,250,POM,26,,T1 20,1.07662,-26.5,159.08,,0.41758,140.6,23.09,,Pyro1Shurin,B8,"POM, scraped GFF","13C, 15N",8.2,1874219,387112,A
T1,burned,250,plankton,26,,T1 21,1.07793,-25.3,879.2,,0.41804,141.87,200.55,,Pyro1Shurin,B9,"plankton, scrape GFF","13C, 15N",6.1,1874220,387113,A
T1,unburned,225,POM,7,,T1 22,1.07648,-26.63,242.58,,0.42267,154.57,43.86,,Pyro1Shurin,B10,"POM, scraped GFF","13C, 15N",8.7,1874221,387114,A
T1,burned,225,plankton,24,,T1 23,1.07761,-25.6,776.12,,0.41699,138.98,139.56,,Pyro1Shurin,B11,"plankton, scrape GFF","13C, 15N",5.4,1874222,387115,A
T1,burned,225,POM,24,,T1 24,1.07633,-26.76,127.57,,0.42088,149.64,14.43,Precision decreases for samples containing less than 20ugN,Pyro1Shurin,B12,"POM, scraped GFF","13C, 15N",8,1874223,387116,A
T1,controls,NA,plankton.stock,NA,*plankton rep sample,T1 25,1.07039,-32.19,521.24,,0.37035,11.12,111.88,,Pyro1Shurin,C1,ground plankton,"13C, 15N",1.5,1874224,387120,A
T1,unburned,200,POM,9,,T1 26,1.07492,-28.05,261.59,,0.4228,154.92,32.98,,Pyro1Shurin,C2,"POM, scraped GFF","13C, 15N",7.4,1874225,387121,A
T1,burned,200,plankton,22,,T1 27,1.07801,-25.22,336.39,,0.42117,150.44,77.73,,Pyro1Shurin,C3,"plankton, scrape GFF","13C, 15N",1.6,1874226,387122,A
T1,burned,200,POM,22,,T1 28,1.07693,-26.21,138.46,,0.42055,148.75,23,,Pyro1Shurin,C4,"POM, scraped GFF","13C, 15N",7.5,1874227,387123,A
T1,unburned,225,plankton,7,,T1 29,1.07767,-25.53,1352.54,,0.42183,152.27,289.79,,Pyro1Shurin,C5,"plankton, scrape GFF","13C, 15N",3.6,1874228,387124,A
T1,unburned,225,plankton,7,*rep sample,T1 30,1.07764,-25.56,1634.56,,0.4211,150.27,329.3,Contained more nitrogen than largest reference in run,Pyro1Shurin,C6,"plankton, scrape GFF","13C, 15N",4.7,1874229,387125,A
T1,unburned,175,plankton,11,,T1 31,1.07737,-25.81,436.68,,0.42451,159.62,84.46,,Pyro1Shurin,C7,"plankton, scrape GFF","13C, 15N",1.5,1874230,387126,A
T1,unburned,175,POM,11,,T1 32,1.07607,-27,192.98,,0.42694,166.28,21.64,,Pyro1Shurin,C8,"POM, scraped GFF","13C, 15N",11.4,1874231,387127,A
T1,burned,175,plankton,20,,T1 33,1.07589,-27.17,323.16,,0.40778,113.72,62.33,,Pyro1Shurin,C9,"plankton, scrape GFF","13C, 15N",4.4,1874232,387128,A
T1,burned,175,POM,20,,T1 34,1.07508,-27.9,209.01,,0.41926,145.22,36.57,,Pyro1Shurin,C10,"POM, scraped GFF","13C, 15N",6.3,1874233,387129,A
T1,unburned,150,plankton,13,,T1 35,1.07503,-27.95,271.84,,0.40785,113.92,37.51,,Pyro1Shurin,C11,"plankton, scrape GFF","13C, 15N",7.1,1874234,387130,A
T1,unburned,150,POM,13,,T1 36,1.07405,-28.85,160.97,,0.41909,144.74,15.96,Precision decreases for samples containing less than 20ugN,Pyro1Shurin,C12,"POM, scraped GFF","13C, 15N",12.2,1874235,387131,A
T1,unburned,200,plankton,9,,T1 37,1.07713,-26.03,561.04,,0.41874,143.77,94.85,,Pyro1Shurin,D1,"plankton, scrape GFF","13C, 15N",6.2,1874236,386983,A
T1,unburned,200,plankton,9,*rep sample,T1 38,1.07712,-26.04,786.88,,0.41968,146.37,139.04,,Pyro1Shurin,D2,"plankton, scrape GFF","13C, 15N",7.1,1874237,386984,A
T1,burned,150,plankton,18,,T1 39,1.07547,-27.55,276.15,,0.40487,105.74,51.43,,Pyro1Shurin,D3,"plankton, scrape GFF","13C, 15N",6.4,1874238,386985,A
T1,burned,150,POM,18,,T1 40,1.07579,-27.26,94.48,Precision decreases for samples containing less than 100ugC,0.40784,113.89,18.5,Precision decreases for samples containing less than 20ugN,Pyro1Shurin,D4,"POM, scraped GFF","13C, 15N",4.4,1874239,386986,A
T1,unburned,125,plankton,15,,T1 41,1.07515,-27.84,573.46,,0.40621,109.41,90.51,,Pyro1Shurin,D5,"plankton, scrape GFF","13C, 15N",5.4,1874240,386987,A
T1,unburned,125,POM,15,,T1 42,1.07539,-27.62,171.76,,0.41269,127.2,28.81,,Pyro1Shurin,D6,"POM, scraped GFF","13C, 15N",8.8,1874241,386988,A
T1,burned,125,plankton,16,,T1 43,1.07548,-27.54,136.92,,0.39916,90.09,26.99,,Pyro1Shurin,D7,"plankton, scrape GFF","13C, 15N",2.1,1874242,386989,A
T1,burned,125,POM,16,,T1 44,1.075,-27.98,137.14,,0.40458,104.94,24.3,,Pyro1Shurin,D8,"POM, scraped GFF","13C, 15N",5.9,1874243,386990,A
T1,burned,100,plankton,14,,T1 45,1.07746,-25.73,563.11,,0.40046,93.64,111.31,,Pyro1Shurin,D9,"plankton, scrape GFF","13C, 15N",2.3,1874244,386991,A
