1,NPOC/TN,52.22,0.9146
2,NPOC/TN,3.455,0.8329
3,NPOC/TN,40.96,0.656
4,NPOC/TN,3.507,1.051
5,NPOC/TN,30.75,0.642
6,NPOC/TN,3.83,0.7122
7,NPOC/TN,18.03,0.5853
8,NPOC/TN,5.004,0.3547
9,NPOC/TN,26.1,0.6244
10,NPOC/TN,5.907,1.229
11,NPOC/TN,20.96,0.4659
12,NPOC/TN,6.115,0.9694
13,NPOC/TN,15.7,0.5185
14,NPOC/TN,7.475,0.4557
15,NPOC/TN,10.77,0.4531
16,NPOC/TN,9.172,0.6772
17,NPOC/TN,9.761,0.451
18,NPOC/TN,11.22,0.4934
19,NPOC/TN,5.305,0.8143
20,NPOC/TN,10.35,0.6048
21,NPOC/TN,4.845,0.8209
22,NPOC/TN,15.05,0.5376
23,NPOC/TN,3.984,0.9668
24,NPOC/TN,20.21,0.6044
25,NPOC/TN,3.472,0.8702
26,NPOC/TN,19.98,0.6394
27,NPOC/TN,3.596,0.9543
28,NPOC/TN,33.18,0.7905
29,NPOC/TN,3.599,1.199
30,NPOC/TN,56.38,0.8601
