Time.point,Treatment,plant.mass..g,Tank,Gas,d13C,at.perc.13C,ppm
T0,unburned,400,1,CH4,-45.21,NA,1.81
T0,burned,0,2,CH4,-45.75,NA,1.69
T0,unburned,300,3,CH4,-45.69,NA,1.96
T0,burned,5,4,CH4,-45.18,NA,1.92
T0,unburned,250,5,CH4,-45.68,NA,2.05
T0,burned,10,6,CH4,-45.62,NA,1.94
T0,unburned,225,7,CH4,-45.8,NA,1.8
T0,burned,25,8,CH4,-45.54,NA,1.87
T0,unburned,200,9,CH4,-45.23,NA,1.97
T0,burned,50,10,CH4,-46.12,NA,2.02
T0,unburned,175,11,CH4,-45.47,NA,1.97
T0,burned,75,12,CH4,-45.28,NA,1.87
T0,unburned,150,13,CH4,-45.27,NA,1.85
T0,burned,100,14,CH4,-46.07,NA,1.96
T0,unburned,125,15,CH4,-45.97,NA,1.94
T0,burned,125,16,CH4,-45.46,NA,1.9
T0,unburned,100,17,CH4,-46.78,NA,2.06
T0,burned,150,18,CH4,-45.52,NA,2.05
T0,unburned,75,19,CH4,-45.86,NA,1.92
T0,burned,175,20,CH4,-45.57,NA,1.88
T0,unburned,50,21,CH4,-45.17,NA,1.96
T0,burned,200,22,CH4,-45.71,NA,1.95
T0,unburned,25,23,CH4,-45.59,NA,2.05
T0,burned,225,24,CH4,-45.32,NA,1.88
T0,unburned,10,25,CH4,-45.21,NA,2
T0,burned,250,26,CH4,-45.55,NA,2
T0,unburned,5,27,CH4,-45.39,NA,1.96
T0,burned,300,28,CH4,-45.06,NA,1.95
T0,unburned,0,29,CH4,-45.49,NA,1.95
T0,burned,400,30,CH4,-45.35,NA,2.01
T1,unburned,400,1,CH4,-46.28,NA,2.34
T1,burned,0,2,CH4,-45.92,NA,2.11
T1,unburned,300,3,CH4,-46.55,NA,2.27
T1,burned,5,4,CH4,-46.22,NA,2.16
T1,unburned,250,5,CH4,-46.48,NA,2.25
T1,burned,10,6,CH4,-46.2,NA,2.17
T1,unburned,225,7,CH4,-46.43,NA,2.16
T1,burned,25,8,CH4,-46.1,NA,2.04
T1,unburned,200,9,CH4,-46.57,NA,2.19
T1,burned,50,10,CH4,-46.05,NA,2.26
T1,unburned,175,11,CH4,-46.7,NA,1.99
T1,burned,75,12,CH4,-46.21,NA,2.01
T1,unburned,150,13,CH4,-46.48,NA,2
T1,burned,100,14,CH4,-46.64,NA,2.08
T1,unburned,125,15,CH4,-45.83,NA,1.98
T1,burned,125,16,CH4,-46.64,NA,2.09
T1,unburned,100,17,CH4,-45.86,NA,1.98
T1,burned,150,18,CH4,-46.45,NA,2.04
T1,unburned,75,19,CH4,-45.65,NA,2.19
T1,burned,175,20,CH4,-46.57,NA,2.13
T1,unburned,50,21,CH4,-46.51,NA,2.07
T1,burned,200,22,CH4,-46.79,NA,2.05
T1,unburned,25,23,CH4,-46.63,NA,2.19
T1,burned,225,24,CH4,-46.63,NA,2.12
T1,unburned,10,25,CH4,-45.75,NA,2.04
T1,burned,250,26,CH4,-46.52,NA,2.06
T1,unburned,5,27,CH4,-46.16,NA,2.06
T1,burned,300,28,CH4,-46.21,NA,2.1
T1,unburned,0,29,CH4,-46.04,NA,2.1
T1,burned,400,30,CH4,-46.01,NA,2.19
T2,unburned,400,1,CH4,-47.12,NA,2.47
T2,burned,0,2,CH4,-46.95,NA,2.35
T2,unburned,300,3,CH4,-47.58,NA,2.44
T2,burned,5,4,CH4,-47.33,NA,2.34
T2,unburned,250,5,CH4,-47.14,NA,2.29
T2,burned,10,6,CH4,-46.83,NA,2.2
T2,unburned,225,7,CH4,-46.17,NA,2.26
T2,burned,25,8,CH4,-46.61,NA,2.16
T2,unburned,200,9,CH4,-46.96,NA,2.44
T2,burned,50,10,CH4,-46.53,NA,2.37
T2,unburned,175,11,CH4,-47.34,NA,2.34
T2,burned,75,12,CH4,-46.5,NA,2.37
T2,unburned,150,13,CH4,-46.64,NA,2.15
