Time.point,Treatment,plant.mass..g,sample.type,Tank,Sample ID,13C (at-%),δ13CVPDB (‰),Total C (µg),13C Comment,15N (at-%),δ15NAir (‰),Total N (µg),15N Comment,Tray Name,Well Id,Type of Material,Analysis,Sample Weight (mg) from Sample List,OurLabID,Analysis Number,Mass Spec
T2,unburned,400,"POM, scraped from GFF",1,T2 01,1.07525,-27.74,169.26,,0.42898,171.89,20.52,,Pyro2Shurin,A1,"POM, GFF","13C, 15N",8.7,1878684,388419,A
T2,unburned,400,"plankton, scraped from GFF",1,T2 02,1.07755,-25.65,455.43,,0.43626,191.84,106.81,,Pyro2Shurin,A2,"plankton, GFF","13C, 15N",1.2,1878685,388420,A
T2,burned,400,"POM, scraped from GFF",30,T2 03,1.07659,-26.53,110.65,,0.41345,129.27,9.01,Contained less nitrogen than smallest reference,Pyro2Shurin,A3,"POM, GFF","13C, 15N",10.8,1878686,388421,A
T2,burned,400,"plankton, scraped from GFF",30,T2 04,1.07517,-27.82,533.9,,0.39057,66.54,32.65,,Pyro2Shurin,A4,"plankton, GFF","13C, 15N",2.3,1878687,388422,A
T2,burned,400,"plankton, scraped from GFF",30,T2 05,1.07428,-28.64,566.17,,0.40172,97.1,26.5,,Pyro2Shurin,A5,"plankton, GFF","13C, 15N",3.6,1878688,388423,A
T2,unburned,300,"plankton, scraped from GFF",3,T2 06,1.0778,-25.42,747.85,,0.42434,159.14,171.84,,Pyro2Shurin,A6,"plankton, GFF","13C, 15N",1.5,1878689,388424,A
T2,unburned,300,"POM, scraped from GFF",3,T2 07,1.07591,-27.15,279.53,,0.42614,164.09,45.48,,Pyro2Shurin,A7,"POM, GFF","13C, 15N",10,1878690,388425,A
T2,burned,300,"plankton, scraped from GFF",28,T2 08,1.07808,-25.16,896.78,,0.42939,172.99,204.35,,Pyro2Shurin,A8,"plankton, GFF","13C, 15N",1.5,1878691,388426,A
T2,unburned,250,"plankton, scraped from GFF",5,T2 09,1.07823,-25.03,981.34,,0.43347,184.19,215.77,,Pyro2Shurin,A9,"plankton, GFF","13C, 15N",2.7,1878692,388427,A
T2,unburned,250,"plankton, scraped from GFF",5,T2 10,1.07812,-25.13,972.21,,0.433,182.89,208.74,,Pyro2Shurin,A10,"plankton, GFF","13C, 15N",3.9,1878693,388428,A
T2,burned,300,"POM, scraped from GFF",28,T2 11,1.07567,-27.36,270.26,,0.42762,168.16,51.36,,Pyro2Shurin,A11,"POM, GFF","13C, 15N",9.6,1878694,388429,A
T2,unburned,250,"POM, scraped from GFF",5,T2 12,1.0763,-26.79,114.14,,0.43044,175.88,18.15,,Pyro2Shurin,A12,"POM, GFF","13C, 15N",7.6,1878695,388430,A
T2,burned,250,"POM, scraped from GFF",26,T2 13,1.07682,-26.32,256.34,,0.42015,147.67,49.61,,Pyro2Shurin,B1,"POM, GFF","13C, 15N",9.1,1878696,388434,A
T2,burned,250,"plankton, scraped from GFF",26,T2 14,1.07831,-24.95,901.36,,0.41981,146.73,198.2,,Pyro2Shurin,B2,"plankton, GFF","13C, 15N",1.8,1878697,388435,A
T2,unburned,225,"POM, scraped from GFF",7,T2 15,1.07691,-26.23,171.35,,0.41746,140.29,27.37,,Pyro2Shurin,B3,"POM, GFF","13C, 15N",10,1878698,388436,A
T2,unburned,225,"plankton, scraped from GFF",7,T2 16,1.07806,-25.18,545.42,,0.4214,151.09,117.36,,Pyro2Shurin,B4,"plankton, GFF","13C, 15N",1.2,1878699,388437,A
T2,burned,225,"plankton, scraped from GFF",24,T2 17,1.07841,-24.86,757.02,,0.41967,146.34,155.14,,Pyro2Shurin,B5,"plankton, GFF","13C, 15N",1.6,1878700,388438,A
T2,burned,225,"POM, scraped from GFF",24,T2 18,1.0743,-28.62,258.66,,0.41676,138.35,39.59,,Pyro2Shurin,B6,"POM, GFF","13C, 15N",9,1878701,388439,A
T2,unburned,200,"plankton, scraped from GFF",9,T2 19,1.07748,-25.71,550.03,,0.41659,137.88,106.81,,Pyro2Shurin,B7,"plankton, GFF","13C, 15N",1.5,1878702,388440,A
T2,unburned,200,"plankton, scraped from GFF",9,T2 20,1.07779,-25.43,418.45,,0.4172,139.56,85.63,,Pyro2Shurin,B8,"plankton, GFF","13C, 15N",1.5,1878703,388441,A
T2,unburned,200,"POM, scraped from GFF",9,T2 21,1.07588,-27.17,221.06,,0.41602,136.32,34.49,,Pyro2Shurin,B9,"POM, GFF","13C, 15N",7.9,1878704,388442,A
