Time.point,Treatment,plant.mass..g,Type,Tank,replicate,Sample.ID,at.P..13C,d13C,Total.C..ug,at.P..15N,d15N,Total.N..ug
T1,unburned,400,plankton,1,,T1 07,1.07785,-25.37,835.61,0.44784,223.64,175.44
T1,unburned,400,POM,1,,T1 08,1.07591,-27.15,269.79,0.44401,213.12,40.08
T1,burned,0,plankton,2,,T1 75,1.07805,-25.19,52.99,0.37259,17.25,5.32
T1,burned,0,POM,2,,T1 76,1.07307,-29.74,431.94,0.36915,7.84,56.37
T1,unburned,300,plankton,3,,T1 11,1.07777,-25.45,2877.89,0.43632,192.01,516.89
T1,unburned,300,POM,3,*rep sample,T1 13,1.07608,-26.99,111.085,0.43317,183.38,15.735
T1,burned,5,plankton,4,,T1 69,1.07893,-24.39,394.21,0.37645,27.82,56.97
T1,burned,5,POM,4,,T1 70,1.07877,-24.53,167.49,0.3766,28.25,22.22
T1,unburned,250,plankton,5,*rep sample,T1 18,1.07936,-23.99,1576.515,0.43963,201.095,378.225
T1,unburned,250,POM,5,,T1 16,1.07699,-26.16,162.42,0.43698,193.82,20.54
T1,burned,10,plankton,6,*rep sample,T1 72,1.077365,-25.815,445.445,0.380465,38.83,60.7
T1,burned,10,POM,6,,T1 66,1.07963,-23.74,231.6,0.37748,30.67,30.11
T1,unburned,225,plankton,7,*rep sample,T1 30,1.077655,-25.545,1493.55,0.421465,151.27,309.545
T1,unburned,225,POM,7,,T1 22,1.07648,-26.63,242.58,0.42267,154.57,43.86
T1,burned,25,plankton,8,*rep sample,T1 61,1.080505,-22.945,419.435,0.383655,47.575,70.535
T1,burned,25,POM,8,,T1 62,1.08201,-21.57,93.63,0.38196,42.93,12.26
T1,unburned,200,plankton,9,*rep sample,T1 38,1.077125,-26.035,673.96,0.41921,145.07,116.945
T1,unburned,200,POM,9,,T1 26,1.07492,-28.05,261.59,0.4228,154.92,32.98
T1,burned,50,plankton,10,,T1 56,1.07786,-25.36,106.93,0.38874,61.53,20.06
T1,burned,50,POM,10,,T1 57,1.07802,-25.22,118.08,0.38683,56.28,15.12
T1,unburned,175,plankton,11,,T1 31,1.07737,-25.81,436.68,0.42451,159.62,84.46
T1,unburned,175,POM,11,,T1 32,1.07607,-27,192.98,0.42694,166.28,21.64
T1,burned,75,plankton,12,,T1 50,1.07645,-26.65,199.69,0.39392,75.73,34.18
T1,burned,75,POM,12,,T1 51,1.07651,-26.6,163.43,0.39382,75.44,21.18
T1,unburned,150,plankton,13,,T1 35,1.07503,-27.95,271.84,0.40785,113.92,37.51
T1,unburned,150,POM,13,,T1 36,1.07405,-28.85,160.97,0.41909,144.74,15.96
