"","Variable","Model","df","AIC"
"m1.fl.T1.gam","FI","Day 10: Treatment with by-factor smooth",6.89316562740671,40.482433331343
"m2.fl.T1.gam","FI","Day 10: Treatment with global smooth",5.27710223076026,43.9696501936909
"m3.fl.T1.gam","FI","Day 10: global smooth",4.30041098494317,42.2401493196756
"m1.fl.T2.gam","FI","Day 31: Treatment with by-factor smooth",10.4115258413057,-55.0779435019264
"m2.fl.T2.gam","FI","Day 31: Treatment with global smooth",5.35819182727204,-45.2952349843566
"m3.fl.T2.gam","FI","Day 31: global smooth",4.35108045077274,-46.028512525881
"m1.fl.T3.gam","FI","Day 59: Treatment with by-factor smooth",7.12987653271411,-46.9029913365261
"m2.fl.T3.gam","FI","Day 59: Treatment with global smooth",5.56562525714795,-48.7201024946754
"m3.fl.T3.gam","FI","Day 59: global smooth",4.5463283489018,-48.8145956444779
"m1.fl.T4.gam","FI","Day 89: Treatment with by-factor smooth",6.42538325608219,-21.9696673023188
"m2.fl.T4.gam","FI","Day 89: Treatment with global smooth",4.00003059857262,-23.5325354659294
"m3.fl.T4.gam","FI","Day 89: global smooth",3.0000306388041,-24.7594294608938
