"","mod.rep","df","AIC"
"m1.DOC.T0","~Treatment + s(plant.mass..g, by= Treatment)",5.48756721127167,3.15515862560825
"m2.DOC.T0","~Treatment + s(plant.mass..g)",4.01646635491326,0.953729734101642
"m3.DOC.T0","~s(plant.mass..g)",3.07975111261845,-0.786359478608959
"m1.DOC.T1","~Treatment + s(plant.mass..g, by= Treatment)",10.8590734502956,146.823968321649
"m2.DOC.T1","~Treatment + s(plant.mass..g)",6.5974959669992,157.793331848353
"m3.DOC.T1","~s(plant.mass..g)",5.48070587630684,162.010920483846
"m1.DOC.T2","~Treatment + s(plant.mass..g, by= Treatment)",12.4612157128103,117.697010130118
"m2.DOC.T2","~Treatment + s(plant.mass..g)",6.26960209383185,159.97066319304
"m3.DOC.T2","~s(plant.mass..g)",5.33335358298641,157.956372680794
"m1.DOC.T3","~Treatment + s(plant.mass..g, by= Treatment)",8.24583373329259,64.0307405406757
"m2.DOC.T3","~Treatment + s(plant.mass..g)",4.00004093385776,69.7287683805029
"m3.DOC.T3","~s(plant.mass..g)",3.00004074188526,76.1343250332004
"m1.DOC.T4","~Treatment + s(plant.mass..g, by= Treatment)",6.32401809970382,110.85389981307
"m2.DOC.T4","~Treatment + s(plant.mass..g)",5.38973981461766,109.293534150805
"m3.DOC.T4","~s(plant.mass..g)",4.38458649819277,108.631071339609
